758: [1, 0.0]
759: [1, 0.0]
760: [1, 0.0]
761: [1, 0.0]
762: [1, 0.0]
763: [1, 0.1717900530327096]
764: [1, 0.7623959971851502]
765: [1, 1.4760213334381518]
766: [1, 2.7075942047258046]
767: [1, 4.152289279611023]
768: [1, 5.644992831936565]
769: [1, 6.861294420881007]
770: [1, 8.55595286611204]
771: [1, 10.295766079010006]
772: [1, 12.055306244283384]
773: [1, 13.378073422950024]
774: [1, 15.1419970548554]
775: [1, 16.89185860830356]
776: [1, 18.61615800642198]
777: [1, 19.886470540312125]
778: [1, 21.54078791381208]
779: [1, 23.13915457718501]
780: [1, 24.66914168394601]
781: [1, 25.768635859169304]
782: [1, 27.15865245552436]
783: [1, 28.447962118699206]
784: [1, 29.62626253650468]
785: [1, 30.43203327865585]
786: [1, 31.407716691512327]
787: [1, 32.26867623793681]
788: [1, 33.01026767614765]
789: [1, 33.4873782360224]
790: [1, 34.019593102760396]
791: [1, 34.43725007584598]
792: [1, 35.493091022849285]
793: [1, 36.41652724783013]
794: [1, 37.57546118052297]
795: [1, 38.65015667339743]
796: [1, 39.64012451255442]
797: [0, 0]
798: [0, 0]
799: [0, 0]
800: [0, 0]
801: [0, 0]
802: [0, 0]
803: [0, 0]
804: [0, 0]
805: [0, 0]
806: [0, 0]
807: [0, 0]
808: [0, 0]
809: [0, 0]
810: [0, 0]
811: [1, 0.0]
812: [1, 2.039286771962126]
813: [1, 3.6436116863326466]
814: [1, 5.812257887346027]
815: [1, 7.994831276843512]
816: [1, 10.183088752543423]
817: [1, 11.825493638390277]
818: [1, 14.014565836147193]
819: [1, 16.20009859264768]
820: [1, 18.37718220574987]
821: [1, 19.994869782706058]
822: [1, 22.112285863837847]
823: [1, 24.145525321936173]
824: [1, 26.020665740242535]
825: [1, 27.252683403118787]
826: [1, 28.531285761676735]
827: [1, 29.217206158824137]
828: [1, 29.13360849374357]
829: [1, 28.502779501344655]
830: [1, 26.89142277982862]
831: [2, 12.615628563303519]
832: [2, 11.673474900180103]
833: [2, 10.760413940271208]
834: [2, 9.674309925654894]
835: [2, 8.66515612729668]
836: [2, 7.765839489025567]
837: [2, 7.184422985629215]
838: [2, 6.59557110758642]
839: [2, 6.259666765848216]
